title,rating,stars
河神,1.8分,主演李现  张铭恩  王紫璇CiCi  陈芋米
少林问道,4.0分,主演 周一围  郭京飞  郭晓婷  是安
鬼吹灯之黄皮子坟,3.0分,主演阮经天  徐璐  郝好  刘潮  尚铁龙
槑头槑脑第二季,3.0分,主演宋晓峰  霍云龙  程野
槑头槑脑,2.0分,主演宋晓峰  霍云龙 唐艺兮 程野 唐娜
学生兵,2.0分,主演张铎  孙艺宁  张光北  孙绍龙
绝密543,3.6分,主演王聪  陈维涵  顾宇峰  王超
深海利剑,3.0分,主演王强  高旻睿  刘璐  王阳
浪花一朵朵,5.0分,主演谭松韵  熊梓淇  黄圣池  张峻宁
镇魂街[真人版],2.0分,主演 汪东城 安悦溪 侯明昊
黑土热血,1.0分,"主演于毅,刘威葳,张芷溪,王劲松,曹克难,谭皓,侯煜,袁苑,齐千郡,山鹰,王今心"
建军大业电视剧,4.0分,"主演黄海冰,郭广平,周惠林,李飞"
颤抖吧，阿部,5.0分,主演郑业成 安悦溪 王燕阳
班长大人,1.0分,主演李凯馨  黄俊捷  戴景耀  邓欣  陆妍淇
鬼吹灯之牧野诡事第二季,3.0分,主演王大陆  金晨  王栎鑫
天下第一,3.0分,"主演李亚鹏,郭晋安,霍建华,张卫健"
刺客列传第一季,3.0分,主演查杰，连晨翔，赵志伟，马振桓，吕鋆峰 ，熊梓淇，易柏辰，黄伟晋，朱戬，彭昱畅，张天启，李熹子，郭鑫
轩辕剑之汉之云,1.0分,主演张云龙  于朦胧  关晓彤  张佳宁
通天狄仁杰,2.0分,主演任嘉伦  阚清子  焦俊艳  陈奕
盲约,4.0分,主演蒋欣  陆毅  李雅男  王汀
异地恋,5.0分,"主演李嘉文,毛方圆,朱俊玮,许媛媛,李宁,黄婧,韩昊霖,薛亦伦,赵培琳,洪士雅,刘承林,毛翔宇"
人间至味是清欢,3.0分,主演佟大为  陈乔恩  王一博  林鹏  朱刚日尧
秦时丽人明月心,4.1分,主演迪丽热巴 张彬彬 李泰 刘畅
通感恋人,5.0分,"主演黄尧,李任燊,张进翘"
春风十里不如你,2.0分,主演周冬雨、张一山、尤靖茹、陈奕龙、魏健隆、齐溪
我的老爸是奇葩,5.0分,主演韩童生  陶慧敏  经超  张佳宁
青春最好时,1.0分,主演 张雪迎  曾舜晞 王博文
进击吧闪电,3.0分,主演蒋劲夫  陈娅安  冯文娟  胡宇威
天团见习生,1.0分,主演王嘉萌  王朝阳  陈名豪  张达源
吾儿可教,2.0分,主演王刚 钱芳 于明加 刘炫锐 东靖川 刘思言
大王不容易,3.0分,主演张逸杰  白鹿  赵弈钦  汤梦佳
白夜追凶,2.0分,主演潘粤明  王泷正  梁缘  吕晓霖  尹姝贻
亲爱的王子大人,5.0分,主演张予曦  谢佳见  赵奕欢  陈子由
那年花开月正圆,4.1分,主演孙俪  陈晓  何润东  任重
血染大青山,2.0分,主演谷智鑫 严屹宽 赵韩樱子 袁弘 王伟光 谢闻轩
无证之罪,4.0分,主演秦昊 邓家佳 姚橹 代旭 王真儿
春天里,1.0分,主演李雨轩 谷智鑫 董博睿 王力可 游涌
爱丽舍之心愿本,1.0分,主演陈匡怡  李宗霖  李颖  梁登凯
战昆仑,4.0分,主演张洪睿  王瑞子  王建福  赵越  王品一
东北往事之黑道风云20年,5.0分,主演张钧涵，宋汶霏，张经伟，韩张，范俊涵，罗鸣，唐
美味奇缘,4.0分,主演披拉·尼迪裴善官  毛晓彤  张雨剑
高能医少,4.0分,主演魏大勋 李昕芸 李泉 孟广美
白色毒网,4.0分,"主演肖慧芳,陆鸣"
大话西游之爱你一万年,2.0分,主演黄子韬  尹正  赵艺  刘天佐
苦乐村官,5.0分,主演 钱泳辰  孙嘉璐  斯琴高娃
恋爱最简单了,5.0分,主演于霖  严米拉  柳璐
余罪第一季,4.0分,"主演张一山,吴优,常戎,张锦程"
欢喜密探,4.0分,主演包贝尔贾玲王鸥
反黑国语,3.0分,"主演陈小春,陈国坤,李灿森,宋本中,陈惠敏"
小戏骨红楼梦,4.0分,主演肖扬 博涵 钟奕儿
那片星空那片海第二季,4.0分,主演冯绍峰  郭碧婷  黄宗泽  王阳明
花儿与远方,4.0分,主演蒋雯丽  王志飞  刘钧  王大奇
一路向西再向西,2.0分,主演张明明 /黄馨瑶 /熊欣 /金钊
情满四合院,5.0分,主演何冰  郝蕾  海一天  卫紫冰
一树桃花开,4.0分,主演王志文  徐帆  蓝盈莹  李泓良
爱人同志,4.0分,主演王雷  李小萌  何明翰  周奇奇  任正斌
囧先生,1.0分,主演李彦明  刘子赫  张晶  刘洁涵
珍珠耳环,3.0分,主演陈紫函，戴向宇，关礼杰，谢其均，孙晨耀
八九不离十,1.5分,主演李光洁 朱丹 缪婷茹 谢园
南少林荡倭英豪,2.0分,主演张帆/张晋/黄曼/李娜/张磊
国民大生活,3.0分,主演郑恺  袁姗姗  朱孝天  刘佳
小五当官,4.0分,主演文松 宋晓峰 杨树林 刘小光 葛珊珊 蒋
维和步兵营,1.0分,主演杜淳  贾青  徐洪浩  孙晶晶
屏里狐,3.0分,主演罗云熙 刘馨祺 郝泽嘉 黄俊捷 王朝阳 崔绍涵
卧底第一季,3.5分,主演 赵达 饰 达子/ 张陆 饰 大陆/ 骆达华 饰 华仔/ 曲高位 饰 曲经/ 王工一 饰 豪哥/ 王志刚 饰 王警长/ 邢宇菲 饰 邓敏/ 徐露 饰 露露公主/ 苏濛濛 饰 艾米/ 赵龙豪 饰 扎萨
胭脂,5.0分,主演赵丽颖陆毅袁文康陶昕然李梦男叶峰
恋在香港,3.0分,主演程前 / 沈殿霞 / 王馥荔 / 伍咏薇 / 莫少聪
特勤精英,2.0分,主演张丹峰  苏青  李乃文  包文婧
班长大人第二季,1.0分,主演李凯馨  黄俊捷  戴景耀  邓欣  陆妍淇  傅晓
将军在上,4.0分,主演马思纯 盛一伦 丁川
爱情的边疆,2.0分,"主演殷桃,王雷,李乃文,帝莫西•谢尔盖耶维奇"
碧海雄心,5.0分,主演陈思诚  张国强  袁泉  王媛可
凡人的品格,5.0分,主演林永健  蒋欣  童蕾  梁振伦
梦想越走越近,4.0分,主演于晓光 梁爱琪 宋佳伦 张洪杰
青恋,3.0分,主演郭京飞  车晓  冯嘉怡  尤靖茹
急诊科医生,1.0分,主演张嘉译  王珞丹  江珊  柯蓝
飞哥战队,2.0分,主演袁文康  许瑶璇  杨梓墨  王俊彭
路从今夜白之遇见青春,5.0分,主演陈若轩  安悦溪  罗予彤  魏哲鸣
天道,1.3分,主演王志文/左小青/曾红生/赵会南/施大生/姚金飞/
推理笔记,3.0分,"主演张子枫,侯明昊,汪铎"
猎场,3.0分,主演胡歌 菅纫姿 陈龙  孙红雷
幸福满院,1.0分,主演吴军  张洪杰  史可  李大强  崔波
拜见宫主大人,3.0分,主演关智斌  孙雪宁  许镇耀  李诺
你好旧时光,4.0分,"主演李兰迪,张新成,周澄奥,李牵,许梦圆,汤梦佳,曹恩齐,陈鹏万里,姜嫄,柳俊岐"
可惜不是你,3.0分,主演范世錡  宋妍霏  肖顺尧  陈斯琪
九州海上牧云记,2.0分,"主演黄轩,窦骁,周一围,张佳宁,文咏珊,万茜,张钧甯,蒋勤勤,俞灏明,热依扎,徐璐"
蔚蓝50米第二季,3.0分,主演赵志伟  徐洋  何昕霖  张瑞涵  王菁
我不是精英,1.0分,主演雷佳音  邓家佳  莫小棋  张晓谦
生逢灿烂的日子,5.0分,主演张嘉译  果靖霖  刘佩琦  姜武
南北兄弟,4.0分,主演孟瑞  柴格  金俊秀  白希
最后的战士,2.0分,主演芦芳生  张志坚  石安妮  羿坤
极光之恋,4.2分,主演关晓彤  马可  赵韩樱子  朱晓鹏
假凤虚凰第三季,4.0分,"主演赵予熙,刘济恺"
杜鹃山,5.0分,"主演丁海峰,尹春德,赵亮,陶玉玲"
一起同过窗Ⅱ,2.0分,主演武雨泽 徐晓璐 庞瀚辰 李若嘉 于翔慈 婉彤
花谢花飞花满天,5.0分,主演何润东  张馨予  朱一龙  李心艾
欢乐步行街,2.0分,主演崔志佳 倪虹洁 张一鸣
国士无双黄飞鸿,2.0分,主演郑恺  郭碧婷  钟楚曦  经超
天下粮田,4.0分,主演吴京安  徐僧  孙宁  宗峰岩
端脑,2.0分,主演戚薇 赵奕欢 朱元冰
我的小姨,3.0分,主演童蕾  朱泳腾  赵峥  刘威葳
大军师司马懿之虎啸龙吟,4.5分,主演吴秀波  刘涛  李晨
东风破,1.0分,主演张笑君  张铎  牛丽燕  刘小锋
龙日一你死定了,4.0分,"主演邱赫南,侯佩杉,魏哲鸣,黄千硕,朱庭辰,贾司特,张珂源,曾丽瑶"
木木川,3.0分,主演谢彬彬  黄德毅  李俊辰  荣溪
亲爱的她们,1.0分,主演宋丹丹  张若昀  姜妍  刘莉莉
九丹,3.5分,"主演赵锦焘,赖雅妍,丁勇岱,周知"
雪狼突击,1.0分,"主演那志东,钱禧泷,许小行,李毅"
生活大爆炒,4.0分,"主演翟天临,何昕霖,张宥浩 Youhao Zhang"
琅琊榜,3.0分,"主演胡歌,刘涛,王凯,陈龙"
柒个我,3.5分,"主演张一山,蔡文静,张晓谦,王森"
风筝,3.8分,主演柳云龙  罗海琼  李小冉  齐欢
哪里有彩虹告诉我,3.0分,主演李海娜 侯东 赵一桉 朱涵驿 风早 圣微
济公降魔,2.0分,主演沈世朋  严子贤  唐瑞宏  徐子鹿
枪口,3.0分,主演吴樾 阎娜 刘德凯 吕中 郑清文
双雄,2.0分,主演连奕名 林保怡 王若心 王晓晨 徐程邵 传勇
红蔷薇,2.0分,主演杨子姗  陈晓  毛林林
花落宫廷错流年,3.0分,"主演赵滨,李莎旻子,廖彦龙,郑晓东,郑拓疆,汪晴,桑娜,毛娜,姜萌轩,卫延侃,邢城,赵楠,齐超"
那刻的怦然心动,4.0分,"主演胡宇威,阚清子,洪尧,蔡淑臻,陶嫚曼,刘品言,关诗敏,黄薇渟,潘慧如"
你好仙兄之放开那只魔兽,1.0分,"主演王禛,杨天正,张鼎鼎,胡世闻"
最好的我们,4.0分,"主演刘昊然,谭松韵,王栎鑫,董晴"
琅琊榜之风起长林,3.9分,"主演黄晓明,刘昊然,佟丽娅,张慧雯,孙淳,吴昊宸,梅婷,张博,郭京飞,毕彦君,成泰燊,乔欣,刘钧,胡先煦,刘琳,邢岷山,金泽灏"
孩子回国了,5.0分,"主演万茜,曹云金,刘芙伶,伍宇娟,哈斯高娃,赵丽娟,白威,徐程,于洋,杨青,李建义,赵阳"
见习法医,5.0分,"主演陈冰,朱富润,蒋思羽,郑家彬"
燃血女神,5.0分,"主演刘奕畅,肖燕,李思函,杨霖"
不负如来不负卿,1.0分,"主演蓉卓,牛子藩,杨廷东,阿丽亚"
我的继父是偶像,2.0分,主演林永健 胡杏儿 金巧巧
悍城,2.0分,"主演李光洁,袁文康,姜珮瑶,李成敏"
美丽的事,2.0分,"主演倪萍,叶一云,周小斌,叶倩云 Qianyun Ye"
器灵第二季,1.0分,"主演彭昱畅,孙雪宁,伊丹·爱莉,蒋梓乐"
妖行天下,1.0分,"主演崔冬辰,孙丽丽,陈心语,杨俊茗"
艳骨,3.0分,"主演佟梦实,王鹤润,刘潮,姜瑞佳"
二龙湖爱情故事,5.0分,"主演张浩,徐子涵,张厦,马靓"
主播公寓,2.0分,主演纪小纪小黑龙大表哥
第一声枪响,4.0分,主演 朱泳腾  王新军  张鹰  田野  张慧  白海涛  刘前程  张维伊
女探长,1.0分,主演姚居德 /韩月乔 /高语阳 /王耀辉
龙凤店传奇第三季,1.0分,"主演李菲儿,宋珉宇,郑晓东,秦子越"
茧镇奇缘,5.0分,"主演宋茜,蒋劲夫,张芷溪,杨洋"
最好的安排,1.5分,"主演颖儿,王耀庆,付辛博,赵子惠"
小楼又东风,3.0分,"主演严屹宽,宋轶,朱梓骁,李欣聪"
烈火刀影,2.0分,"主演钱泳辰,何泓姗,霍政谚,吴佳尼"
最强男神,4.0分,"主演张思帆,张新成,崔宝月,叶筱玮"
嗨！前任,4.0分,"主演姚远,曾梦雪,罗米,郭欣禹"
最强狂兵,2.0分,主演于跃 张澎澎 关亚军
换了人间,2.0分,"主演唐国强,刘劲,王伍福,郭连文"
王子富愁记,5.0分,主演内详
无须喝彩,3.0分,主演李砾
龙日一，你死定了2,5.0分,"主演邱赫南,侯佩杉,魏哲鸣,黄千硕"
花落宫廷错流年2,2.0分,"主演赵滨,李莎旻子,廖彦龙,郑晓东"
封神学院,2.0分,主演赵旭 陈浩民
恋爱先生,2.9分,"主演靳东,江疏影,李乃文,李宗翰"
抗倭英雄戚继光,4.0分,"主演朱晓渔,李立群,于荣光,颜丹晨"
凤囚凰,2.0分,"主演关晓彤,宋威龙,张馨予,白鹿"
相爱穿梭千年2：月光下的交换,3.0分,"主演魏大勋,文咏珊,郭雪芙,张晓晨"
国民老公,4.0分,"主演熊梓淇,李溪芮,虞祎杰,赵尧珂"
亚当与夏娃,3.0分,"主演马琰,张玉轩"
浒门客栈,5.0分,"主演爱戴,何云伟,薛祺,杨钧承"
凤凰牡丹,1.0分,"主演谭耀文,李泰兰,蒋毅,伊一,米雪,穆婷婷,杜俊泽,刘庭羽,林湘萍"
警犬来啦,2.0分,"主演杨蓉,贾景晖,梁缘,田小洁"
无敌奶爸/熊爸熊孩子,4.0分,"主演沙溢,胡可,李佳航,张熙媛"
幸福，近在咫尺,5.0分,"主演陈意涵,王子奇,高圣远,张柏嘉"
寻秦记,5.0分,"主演陈翔,郭晓婷,吴奇隆,牛子藩"
我站在桥上看风景,3.0分,"主演姜潮,李溪芮,庞瀚辰,何瑞贤"
你和我的倾城时光,1.0分,"主演赵丽颖,金瀚,曹曦文,俞灏明"
变身女友,2.0分,"主演魏雨萱,杜维瀚"
福星盈门,2.0分,"主演潘长江,张大静,韩兆"
热血勇士,3.0分,"主演林雨申,马德钟,张璇,康华"
鬼子也疯狂,3.0分,主演苗皓钧 杜旭东
继承者计划,4.0分,"主演王彦霖,李欣燃,郑家彬,杨皓宇"
和平饭店,3.5分,"主演陈数,雷佳音,李光洁,陶慧"
幸福起航,5.0分,"主演李光洁,张檬,杨立新"
小戏骨：八仙过海,1.0分,"主演邹轩琦,张子豪,夏泽宇,王征翰"
蜀山战纪2踏火行歌,3.0分,"主演吴奇隆,雨婷儿,陈哲远,刘一曈"
东山晴后雪,4.0分,"主演李溪芮,刘冬沁,崔绍涵,黄奕"
初遇在光年之外,1.0分,"主演陈若轩,徐娇,朱然,张宸"
画皮2011,3.0分,"主演凌潇肃,薛凯琪,李宗翰,陈怡蓉"
有猫在,5.0分,"主演王京莉,谢欣桐"
49%的灵魂,4.0分,主演内详
韦贵妃传奇,3.0分,"主演安杰,雷环一"
私教,1.0分,主演萧赫 孙健原
幸福照相馆,1.0分,"主演林永健,左小青,王婉娟,徐佳"
生死线,3.0分,"主演张译,廖凡,李晨,杨烁"
谈判官,2.0分,"主演杨幂,黄子韬,郭品超,毛林林"
难忘初心,5.0分,"主演吴京安,丁柳元,洪涛,赵晓明"
乡村爱情10,1.0分,"主演赵本山,毕畅,贺树峰,王小利"
城市传说,2.0分,"主演任茜贝,莫芷涵,滕洋铖,杨旻浩"
翩翩冷少俏佳人,4.0分,"主演徐正溪,李现,潘之琳,朱梓骁"
二分之一美少年,2.5分,"主演叶子诚,金丽婷,周升,敖翔"
暗战,5.0分,主演郭昊仑 邓丽欣
一路繁花相送,4.0分,"主演钟汉良,江疏影,炎亚纶,李晟"
柜中美人,1.5分,"主演周渝民,胡冰卿,陈瑶,韩栋"
失宠王妃之结缘,2.0分,"主演李晟,高云翔,寇振海,黄宥明"
幸福有配方,3.0分,"主演归亚蕾,董勇,黄觉,刘一含"
传承•孝为先：新时代二十四孝,5.0分,主演大举子 李龙
温暖的弦,1.0分,"主演张翰,张钧甯,经超,张嘉倪"
内衣先生,5.0分,"主演孟子义,柴蔚,岳旸,史磊"
决胜,3.0分,"主演王千源,吴刚,寇振海,柯蓝"
绝密任务,4.0分,"主演郭家铭,林源"
超级小郎中2,5.0分,"主演朱元冰,邢菲,杨霖,商侃"
舌尖上的中国第三季,3.0分,主演老狼
插翅难逃,1.0分,"主演赵燕国彰,于慧,张寒,沈鱼"
独孤天下,2.0分,"主演胡冰卿,张丹峰,安以轩"
槑头槑脑3,1.0分,"主演宋晓峰,霍云龙,程野,燕飞"
盛势,5.0分,"主演徐峰,龚俊,李乔丹,蒙恩"
台湾往事,3.0分,"主演左小青,刘以豪,简嫚书,张书豪"
二妮的山村梦,4.0分,主演李林林 刘二宝
半妖皇帝,3.0分,主演陈禹铭 安晨芯
天狗,3.0分,主演高鉥淼 小皮球
大唐情史,2.0分,"主演唐国强,沈傲君,潘粤明,聂远"
我的父亲我的兵,1.0分,"主演张一山,刘威,傅淼,山崎敬一"
利刃出击,2.0分,"主演杨烁,牟星,范雷,翟小兴"
爱情代替套路,3.0分,主演王中楷 李欣颖
单恋大作战,3.0分,"主演孔垂楠,刘美含,李鹤,黄灿灿"
新笑傲江湖,2.0分,"主演丁冠森,薛昊婧"
美好生活,5.0分,"主演张嘉译,李小冉,宋丹丹,牛莉"
一路繁花相送 番外篇,4.0分,"主演钟汉良,江疏影,炎亚纶,李晟"
僧探慈心,3.0分,主演张胤哲 乔乔
恋爱地图上海篇,3.0分,"主演唐昕,邱意璐,尹柔懿"
超能觉醒,5.0分,主演丹阳 杨舒米 孙飞翔 于爱琪
大国重器第二季,1.0分,主演李立宏
人生若如初相见,5.0分,"主演韩东君,孙怡,徐正溪,吕佳容"
老男孩,3.7分,"主演刘烨,林依晨,雷佳音,胡先煦"
浒门客栈第2季,3.0分,"主演爱戴,何云伟,薛祺,杨钧承"
狼乾劫,4.0分,"主演张西正,苑琼丹,梁家仁,贾旭明"
后妈的春天,1.0分,"主演李彩桦,黑子,贺刚,刘佳"
幽兰湖之御厨驾到第二季,3.0分,"主演徐可,李梦颖,廖望,徐荷媛"
辉煌中国,2.0分,主演李立宏
龙探,2.0分,"主演曹骏,李春嫒,黄嘉鑫,矢野浩二"
突击再突击,4.0分,"主演王帅,陈月末,孙楚鸿,高艺丹"
沙海老兵,1.0分,"主演邵兵,李依晓,邵峰,霍青"
梦想合伙人,1.0分,"主演李光洁,高露,袁文康,刘天佐"
远大前程,3.5分,"主演陈思诚,袁弘,佟丽娅,郭采洁"
帝都,5.0分,主演芊芊 亦瑶
幸福巧克力,3.0分,"主演付辛博,辛芷蕾,张颖,于小慧"
万能图书馆,1.0分,"主演易小星 Joshua,刘维,孔连顺,邵芸"
养母的花样年华,2.0分,"主演王雅捷,王挺,周扬,王丽云"
破产专家第一季,4.0分,主演刘李优优 杨冬麒
削死这群熊孩子,4.0分,"主演孙艺杨,袁晶,刘芷汐,冯起龙"
新万家灯火,4.0分,"主演李泰,刘雅瑟,杜海涛,吴孟达"
简职男人第一季,4.0分,主演肖旭 王城祖
南方有乔木,5.0分,"主演陈伟霆,白百何,秦海璐,李现"
源味中国,2.0分,主演源味中国
以你为名的青春,3.3分,"主演李墨之,连晨翔,盖玥希,徐嘉苇"
整容的诱惑,4.0分,"主演陈玺安,马小媛,林铭乐,念贤儿"
海克星,1.0分,"主演吴谨西,蒋宇扬,田渤,张燕妮"
刀锋下的替身,2.0分,"主演陈菲,王晔,杨铮"
好久不见,4.0分,"主演杨子姗,郑恺,张国立,江珊"
吃素的小爸,5.0分,"主演邵传勇,吕颂贤,何昊阳,温菁霞"
三国机密之潜龙在渊,5.0分,"主演马天宇,韩东君,万茜,董洁"
动物系恋人啊,1.0分,"主演钟欣潼,贺军翔,隋棠,张睿家"
恋与偶像第一季,5.0分,"主演刘冬沁,崔莉雅,王梓薇,周彦辰"
兄弟，别闹！,3.0分,主演金霏 （演员） 陈曦（演员）
吃货情缘,1.0分,主演尘冰 丁美懿
大清神捕2,5.0分,"主演王厦,李墨之,骆应钧,汤镇业"
秘密,3.0分,主演子君
金牌投资人,4.0分,"主演张俪,杨旭文,陈龙,梁田"
二次觉醒,3.0分,"主演陈柏融,徐申东,柯言Yan Ke"
花样妹妹,4.0分,"主演孙珍妮,张怡,吴哲晗,戴萌"
军人使命,3.0分,"主演任程伟,宋佳伦,张子健,黄若萌"
古今大战秦俑情,2.0分,"主演杜淳,安以轩,罗嘉良,赵阳"
生命时速·紧急救护120,1.0分,主演内详
海上嫁女记,2.0分,"主演王雷,蔡少芬,张檬,樊霖锋"
阳光下的法庭,1.0分,"主演颜丙燕,何冰,王志飞,刘之冰"
冒险王卫斯理之支离人,4.0分,"主演余文乐,胡然,任达华,林家栋"
雷霆战警,4.0分,"主演赵峥,于蓓蓓"
蜜恋失心第二季,5.0分,"主演丁怡,罗诠浩,殷叶子,蔡俊涛"
不能说的秘密,1.0分,"主演彭梓洋,马国芯,胡雪儿,李睿涵"
猎豺狼,2.0分,"主演李宗翰,胡丹丹,郑斯仁,迟立静"
北京女子图鉴,3.4分,"主演戚薇,魏大勋,刘畅,王啸坤"
护宝联盟,4.0分,"主演陈楚河,钟欣潼,曹操,伊莉莎"
魔都风云,3.0分,"主演经超,周冬雨,刘敏,吴永伦"
我才不会被女孩子欺负呢,5.0分,"主演蔡徐坤,卢洋洋,王咨越,杨景诚"
女王进行时,4.0分,"主演董芒芒,万翔,宁南,高丽雯"
防水逆联盟,3.0分,主演徐子力 钟嘉欣
奇葩超能事务所,1.0分,"主演李政军,洪士雅,章涛,付柔美琦"
下一站，别离,1.0分,"主演于和伟,李小冉,邬君梅,姚奕辰"
超能造梦,2.0分,"主演刘芮麟,郑合惠子,潘霜霜,范晓东"
武动乾坤第二季,3.0分,"主演杨洋,张天爱,吴尊,王丽坤"
真爱的谎言之破冰者,5.0分,"主演罗晋,潘之琳,张晨光,曹征"
百里夜刀,1.0分,主演内详
忽而今夏,2.0分,"主演白宇,卜冠今,张书维,刘林"
小戏骨：水浒传,3.0分,"主演陈荣达,葛奕德,万君逸,郭飞歌"
娘亲舅大,4.0分,"主演黄曼,张铎,刘希媛,唐曾"
遇见自己,4.0分,主演张心怡 王希
喜神三国,5.0分,主演张础 王亚丽
新三国,3.0分,"主演陈建斌,陆毅,于和伟,于荣光"
本草中华,4.0分,主演内详
萌妻食神,5.0分,"主演徐志贤,种丹妮,赵健,柴格"
不惑之年,2.0分,"主演高原,樊志起,钱洁"
暧昧侦探,1.0分,"主演叶青,冉旭,邢恩,姚一奇"
陈云在临江,4.0分,主演内详
哦！我的皇帝陛下,2.0分,"主演谷嘉诚,伍嘉成,肖战,赵露思"
无心法师第一季,4.0分,"主演韩东君,金晨,陈瑶,张若昀"
恋爱脱线时,1.0分,"主演林思意,陈观慧,王晓佳,钱蓓婷"
我是路人甲,5.0分,"主演万国鹏,杨立山,施小菊"
铁核桃2,1.0分,"主演傅程鹏,侯梦莎,任柯诺,夏侯镔"
国民安保官之绝命护卫,4.0分,"主演骏声,黄志玮,恬妞,房思瑜"
她很漂亮,5.0分,"主演张歆艺,郭京飞,朱泳腾,陈哲远"
远大前程·双龙会,2.0分,"主演刘昊然,陈昊,尚语贤"
莽荒纪,5.0分,"主演刘恺威,王鸥,张峻宁,牛骏峰"
恋与偶像 第二季,1.0分,"主演刘冬沁,崔莉雅,王梓薇,周彦辰"
大校的女儿,1.0分,"主演袁立,郭晓东,李静,刘思言"
楼外楼,3.0分,"主演张铎,秦海璐,叶璇,奚美娟"
硬骨头之绝地归途,3.0分,"主演韩栋,徐小飒,郭东文,张润"
小戏骨：包青天之秦香莲与陈世美,4.0分,"主演祁晟原,刘戴恩,释小松,陈荣达"
誓言,1.0分,"主演贾乃亮,李晟,秦昊,刘奕君"
假如没有遇见你,1.0分,"主演彭豆豆,邵伟桐"
上海女子图鉴,2.0分,"主演王真儿,李程彬,李现,盛一伦"
大牧歌,4.0分,"主演林江国,徐百卉,成泰燊,马境"
泡沫之夏,4.0分,"主演张雪迎,秦俊杰,黄圣池,陈欣予"
结爱·千岁大人的初恋,4.5分,"主演宋茜,黄景瑜,徐开骋,许芳铱"
天意,3.5分,"主演欧豪,海铃,唐嫣,乔振宇"
大秦帝国之崛起,4.0分,"主演宁静,张博,邢佳栋,杨志刚"
金太郎的幸福生活,2.0分,主演李小璐，宋丹丹，王雷，杜源，范明
念念,4.9分,"主演丁程鑫,马嘉祺,敖子逸,张真源"
定制幸福,4.0分,"主演乔任梁,童瑶,刘天佐,孙骁骁"
华胥引之绝爱之城,5.0分,"主演郑嘉颖,袁弘,蒋欣,保剑锋"
